Population;Pop_1983;Pop_1986;Pop_1990;Fertilizer
S1;3.4;3.6;3.500212;A
S2;7.5;7.6;7.644275;A
S3;10.2;9.9;9.909285;A
S4;5.1;5.1;5.131217;A
S5;4.8;4.9;4.977325;A
S6;54.4;55.4;56.358332;A
S7;9.9;10;10.028171;A
S8;6.5;6.5;6.742461;A
S9;38.2;38.8;39.268716;A
S10;56.3;56.6;57.365664;A
S11;57.5;57.2;57.664404;A
S12;8.3;8.4;8.526452;A
S13;10.1;10.1;10.354497;A
S14;14.4;14.5;14.936032;A
S15;61.4;60.7;62.1682;A
S16;4.1;4.2;4.252806;A
S17;36.6;37.5;37.776724;A
S18;10.7;10.6;10.568686;A
S19;16.7;16.7;16.30717;A
S20;15.4;15.5;15.683234;A
S21;0.7;0.8;0.848147;B
S22;14.5;16;18.78177;B
S23;94.7;101.9;114.649408;B
S24;95.9;104.1;118.433064;B
S25;33.8;43.9;51.666624;B
S26;5.4;6.2;7.26924;B
S27;15.1;15.8;17.510546;B
S28;6.1;6.9;7.713851;B
S29;7.5;7.9;8.142373;B
S30;3.3;3.9;4.221141;B
S31;5.3;7.8;8.424269;B
S32;17.2;15.4;15.862293;B
S33;20;22.9;24.971806;B
S34;48.7;52.3;56.704328;B
S35;21;22.8;25.566508;B
S36;6.2;6.3;7.160981;B
S37;28;31.2;32.290966;C
S38;0.3;0.3;0.262688;C
S39;6;6.4;6.706854;C
S40;131.1;143.3;152.505072;C
S41;24.9;25.6;26.538228;C
S42;11.7;12.3;13.082842;C
S43;27.5;30;33.076188;C
S44;2.4;2.7;3.032795;C
S45;17.3;17.8;19.698104;C
S46;6.4;6.4;7.240793;C
S47;3;3;3.03666;C
S48;8.8;9.6;10.506668;C
S49;5.2;5.1;5.309865;C
S50;2.3;2.3;2.441396;C
S51;7.9;8.6;9.097636;C
S52;6.3;5.9;6.142141;C
S53;4.1;4.6;5.259699;C
S54;1.2;1.2;1.344639;C
S55;19.2;20.2;21.905604;C
S56;2.1;2.2;2.4254;C
S57;9.9;10.2;10.620099;C
